CropType,Region,SoilType,IrrigationMethod,Rainfall,Temperature,Humidity,WaterFootprint
Rice,UP,Loamy,Flood,573,38,62,2466
Cotton,Karnataka,Clayey,Flood,603,28,44,2237
Rice,Maharashtra,Loamy,Drip,937,31,84,1877
Sugarcane,UP,Clayey,Sprinkler,839,27,62,3126
Wheat,Bihar,Clayey,Flood,661,31,61,1259
Maize,Karnataka,Sandy,Flood,983,35,85,1243
Sugarcane,Maharashtra,Loamy,Drip,584,24,41,2888
Rice,Punjab,Sandy,Sprinkler,1071,27,42,2292
Wheat,Karnataka,Clayey,Flood,1177,33,34,1150
Sugarcane,Bihar,Sandy,Sprinkler,536,26,58,3514
Cotton,Karnataka,Loamy,Sprinkler,717,19,33,1897
Wheat,Punjab,Loamy,Flood,523,18,61,1351
Rice,Bihar,Loamy,Sprinkler,332,26,56,2418
Maize,Punjab,Clayey,Drip,560,23,36,1063
Sugarcane,Maharashtra,Loamy,Flood,311,28,56,3922
Rice,UP,Sandy,Drip,584,25,87,2368
Maize,Bihar,Clayey,Drip,836,24,76,1024
Rice,UP,Loamy,Sprinkler,1021,19,50,2070
Maize,Bihar,Sandy,Drip,253,29,32,1348
Sugarcane,Punjab,Sandy,Sprinkler,542,28,52,3549
Sugarcane,UP,Loamy,Drip,983,26,36,2554
Cotton,Karnataka,Sandy,Sprinkler,937,21,53,1919
Maize,UP,Sandy,Drip,989,33,58,1055
Cotton,Maharashtra,Sandy,Flood,778,26,43,2496
Cotton,Bihar,Loamy,Flood,505,27,55,2148
Maize,Punjab,Loamy,Sprinkler,546,27,81,998
Sugarcane,Karnataka,Clayey,Flood,1188,29,31,3069
Rice,UP,Sandy,Flood,762,27,74,2685
Cotton,UP,Clayey,Sprinkler,1020,24,38,1705
Sugarcane,Maharashtra,Loamy,Drip,624,21,53,2995
Sugarcane,Bihar,Sandy,Flood,557,32,62,3765
Wheat,Punjab,Clayey,Flood,1002,19,48,1184
Sugarcane,Punjab,Clayey,Sprinkler,1025,34,51,2799
Rice,Bihar,Loamy,Sprinkler,255,31,40,2522
Wheat,Karnataka,Loamy,Drip,733,28,47,1202
Maize,UP,Loamy,Flood,1123,38,78,1011
Sugarcane,Punjab,Loamy,Drip,685,19,70,2887
Rice,UP,Loamy,Flood,1000,22,88,2175
Rice,UP,Sandy,Sprinkler,999,30,50,2152
Maize,UP,Sandy,Sprinkler,742,37,62,1105
Maize,Bihar,Loamy,Sprinkler,283,38,37,1134
Sugarcane,Maharashtra,Sandy,Sprinkler,609,30,67,3423
Rice,Karnataka,Sandy,Flood,611,18,38,2742
Sugarcane,Maharashtra,Clayey,Sprinkler,230,29,54,3539
Maize,Punjab,Sandy,Drip,393,29,36,1342
Cotton,Punjab,Sandy,Flood,371,23,39,2559
Cotton,Punjab,Sandy,Sprinkler,819,25,41,2215
Sugarcane,Punjab,Sandy,Flood,665,20,54,3771
Wheat,UP,Loamy,Sprinkler,671,33,45,1264
Maize,Punjab,Clayey,Drip,782,22,52,921
Wheat,Karnataka,Loamy,Sprinkler,511,28,55,1140
Sugarcane,Bihar,Clayey,Drip,744,28,31,2930
Wheat,UP,Clayey,Drip,606,26,86,1127
Rice,Karnataka,Sandy,Drip,956,22,36,2205
Maize,Maharashtra,Loamy,Drip,405,21,59,1108
Wheat,Punjab,Clayey,Drip,776,23,33,1031
Rice,Bihar,Loamy,Flood,532,20,89,2552
Cotton,Punjab,Sandy,Drip,853,38,41,1998
Sugarcane,Bihar,Clayey,Sprinkler,236,32,66,3510
Cotton,Punjab,Clayey,Sprinkler,603,38,59,1930
Wheat,Bihar,Clayey,Drip,1069,29,86,973
Wheat,UP,Clayey,Drip,722,36,80,1014
Sugarcane,Bihar,Sandy,Sprinkler,844,25,75,3542
Cotton,Maharashtra,Sandy,Drip,223,26,39,2243
Sugarcane,Maharashtra,Loamy,Drip,715,30,35,2888
Wheat,Bihar,Clayey,Sprinkler,1021,29,88,958
Rice,Punjab,Sandy,Flood,1190,21,89,2525
Rice,Karnataka,Clayey,Drip,466,36,44,2194
Sugarcane,Punjab,Sandy,Sprinkler,937,20,69,3189
Wheat,Punjab,Loamy,Sprinkler,568,37,62,1182
Sugarcane,UP,Clayey,Drip,469,28,59,2973
Rice,Karnataka,Loamy,Sprinkler,1027,18,55,2046
Rice,Punjab,Sandy,Flood,780,35,70,2713
Sugarcane,Karnataka,Sandy,Sprinkler,468,38,87,3575
Sugarcane,Bihar,Sandy,Drip,1092,30,49,2963
Cotton,Maharashtra,Loamy,Flood,914,28,46,2075
Cotton,Karnataka,Loamy,Sprinkler,276,31,50,2193
Maize,Maharashtra,Sandy,Sprinkler,240,20,86,1316
Sugarcane,Bihar,Sandy,Drip,316,18,61,3589
Wheat,Karnataka,Clayey,Flood,758,30,75,1257
Rice,Punjab,Clayey,Drip,201,21,44,2280
Maize,UP,Loamy,Sprinkler,232,36,77,1110
Sugarcane,Maharashtra,Loamy,Flood,709,21,70,3453
Wheat,UP,Loamy,Sprinkler,1029,31,76,1137
Cotton,UP,Sandy,Flood,222,36,65,2602
Sugarcane,Punjab,Sandy,Drip,473,20,37,3377
Maize,Maharashtra,Loamy,Flood,961,19,34,1152
Rice,Maharashtra,Sandy,Sprinkler,410,35,40,2491
Cotton,Punjab,Loamy,Sprinkler,247,28,33,2195
Sugarcane,Bihar,Clayey,Sprinkler,1140,27,31,2770
Maize,Bihar,Sandy,Drip,1000,30,81,944
Cotton,Punjab,Loamy,Sprinkler,582,31,58,1881
Wheat,Karnataka,Sandy,Drip,853,29,66,1136
Rice,UP,Clayey,Flood,492,27,87,2520
Wheat,Karnataka,Loamy,Drip,841,32,44,1091
Maize,Maharashtra,Sandy,Flood,354,28,55,1370
Cotton,Karnataka,Sandy,Flood,1058,18,45,2125
Rice,Punjab,Loamy,Flood,419,18,75,2569
Maize,Karnataka,Loamy,Sprinkler,453,25,38,1076
Maize,Karnataka,Sandy,Flood,836,20,49,1283
Cotton,Karnataka,Clayey,Flood,679,27,47,2182
Cotton,Maharashtra,Sandy,Sprinkler,415,33,85,2251
Cotton,Karnataka,Sandy,Sprinkler,672,27,56,2155
Cotton,Bihar,Loamy,Flood,220,31,31,2365
Rice,Bihar,Sandy,Drip,237,18,59,2612
Cotton,Bihar,Clayey,Sprinkler,1038,38,56,1678
Maize,Karnataka,Loamy,Flood,965,25,62,1094
Wheat,UP,Loamy,Flood,773,24,45,1358
Maize,Maharashtra,Loamy,Drip,953,18,65,819
Rice,Karnataka,Clayey,Flood,980,35,80,2236
Rice,Punjab,Clayey,Flood,310,33,40,2724
Wheat,Punjab,Clayey,Drip,209,27,87,1220
Wheat,Karnataka,Clayey,Drip,446,34,78,1193
Wheat,Bihar,Clayey,Flood,327,28,80,1374
Sugarcane,Bihar,Loamy,Sprinkler,674,26,76,3183
Rice,Punjab,Clayey,Drip,813,21,47,2109
Cotton,Maharashtra,Loamy,Flood,1144,26,58,1962
Rice,Punjab,Sandy,Flood,611,23,65,2767
Wheat,Maharashtra,Loamy,Drip,374,23,61,1206
Maize,Karnataka,Loamy,Drip,218,30,30,1237
Wheat,UP,Clayey,Drip,851,25,53,1155
Sugarcane,Bihar,Sandy,Flood,1112,19,43,3511
Wheat,Punjab,Clayey,Drip,299,28,86,1188
Cotton,UP,Clayey,Flood,532,36,75,2216
Cotton,Punjab,Clayey,Drip,856,34,85,1944
Wheat,Karnataka,Clayey,Sprinkler,490,31,60,1122
Rice,Karnataka,Sandy,Sprinkler,838,37,90,2432
Maize,Punjab,Sandy,Flood,579,38,79,1305
Maize,Punjab,Loamy,Drip,472,36,88,1050
Rice,UP,Loamy,Drip,998,23,74,1791
Maize,Karnataka,Loamy,Flood,997,19,70,1138
Cotton,UP,Loamy,Flood,767,30,89,2282
Sugarcane,Punjab,Loamy,Sprinkler,1073,23,87,2760
Sugarcane,Maharashtra,Loamy,Sprinkler,1090,20,57,2723
Rice,Karnataka,Loamy,Sprinkler,346,21,60,2508
Wheat,Karnataka,Clayey,Sprinkler,388,20,45,1248
Rice,Punjab,Clayey,Flood,307,20,45,2654
Maize,Punjab,Sandy,Drip,589,36,40,1118
Sugarcane,Maharashtra,Clayey,Drip,1063,35,64,2560
Wheat,Bihar,Loamy,Flood,268,25,46,1487
